,COURSE_NAME,COURSE_YEAR,COURSE_SEMESTER,FOLDER_NAME,FOLDER_URL
1194,71019 מבוא לכלכה תשף,2019,Semester 2,2019-20 -> 71019 ECONOMICS,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%221b9b243c-f3cc-4371-bf15-aadf00899c95%22
1199,71019 מבוא לכלכלה תשעט,2018,Semester 2,2018-19 -> 71019 ECONOMICS,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%224d9c6c44-7d4f-45df-ae85-abe400b5d13d%22
1202,71019  סמסטר א מבוא לכלכלה תשעט,2018,Semester 1,2018-19 -> 71019 ECONOMICS,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%224d9c6c44-7d4f-45df-ae85-abe400b5d13d%22
1214,71019 מבוא לכלכלה תשעח,2017,Semester 2,,
1224,71019 מבוא לכלכלה תשעח,2017,Semester 1,,
1239,71019 מבוא לכלכלה תשעז,2016,Semester 1,,
1251,55796-2 מתמטיקה למנהל עסקים תשף ,2019,Semester 2,,
1252,bs 55796 ,2017,Semester 1,,
1279,73990  מזיקים ומחלות בגפן היין תשף,2019,Semester 2,,
1283,71342 מבוא למערכות מידע גאוגרפיות תשף,2019,Semester 2,,
1284,55318 בעיות מדידה תפש,2019,Semester 1,2019-20 -> 55318 Measurement issues in Accounting,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%226a17df3e-c297-4fee-97d1-aadf008830ba%22
1295,71451 מתודולוגיה וחישת מזון תשף,2019,Semester 1,2019-20 -> 71451 METHODOLOGY OF SENSORY EVALUATION OF FOOD,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22195640ea-2f86-4d26-9bfa-aadf008c8496%22
1297,80181 - מתמטיקה דיסקרטית - תשף - שעור ג,2019,Semester 1,2019-20 -> 80181-1 DISCRETE MATHEMATICS - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22f41f9dec-94c6-4134-a50d-aadf00adeeb5%22
